residual_transmission,regulatable_transmission,recovery_rate,detection_rate,death_rate,response_slope,initial_relative_latent_infections,response_weights,Country
0.0820739914704981,0.16589837220938772,0.1299515721755801,0.18248722241925863,0.17180703930948923,0.24687261611410813,0.3903250832230133,0.022931087999827293,ARM
0.5624836318198191,0.45503737194978644,0.11755252308726785,0.1314362853050261,1.0,0.3217514666900826,0.36399265075210824,0.08671294832449042,HND
0.1559395085821105,0.11408169499215055,0.12065228535934593,0.326850377897466,0.04532925257420915,0.31513613188960177,0.32860685590878314,0.050098503634616924,HRV
0.2237703992645551,0.05764624278214038,0.18860861209336485,0.26026619157985614,0.1756689564617115,0.3642440440583273,0.14889090210289355,0.04162242581424449,HUN
0.12522569848448892,0.1756186824534868,0.06461812121024257,0.2264198304753893,0.35911002119227037,0.3560349700625093,0.19839003886113094,0.04356564464922412,IDN
0.10489843472196941,0.10962957260771607,0.14545038353597037,0.1507496089056782,0.15684211034462783,0.28276303008018083,0.24826029840305358,0.03934274394294135,IND
0.2068181486541804,0.11427332501844645,0.00953773006793248,0.23861647462492064,0.08153472587629315,0.30147080614445737,0.19528379200042298,0.047124833841757585,IRL
0.27883199738262715,0.16394071589374531,0.56222534317945,0.30508766286432265,0.22490840015254573,0.4066389335557836,0.64624677936598,0.07656534952006629,IRN
0.059753361765006334,0.060035476122816823,0.48150514918202053,0.1257115992114879,0.3200081100260197,0.32155005405761383,0.2060016146383027,0.04666621208176105,IRQ
0.09505909441051126,0.1759753272246485,0.15856476237937758,0.19838475983097031,0.08105198623226537,0.32267072053036844,0.17781255147422173,0.016531971755007518,ISL
0.17274430156927167,0.09161307440895643,0.09561574393102312,0.11467187942472706,0.1674623825132391,0.25730271714970926,0.36813702463238507,0.028103088272578233,ISR
0.14986571372177668,0.0713117566658996,0.16834093569900835,0.21241246772956346,0.30311222248504716,0.2483922661939598,0.44421922883735876,0.008845976541839232,ITA
0.15518801230963955,0.24316335313237294,0.1473579295495569,0.5937221456987873,0.05981144189504276,0.28149638060950644,0.12840644960559305,0.031458767350027124,JOR
0.07243740539095853,0.09815060645989727,0.1785939955220357,0.20169882025607405,0.0651215779793484,0.3326118334037639,0.24781800138688073,0.05024593657698092,JPN
0.13854987715704778,0.19307011775419441,0.3501634528490392,0.38587606502750726,0.19739224044296189,0.32469801825336286,0.1674256890174092,0.05935913532685488,KAZ
0.5597161133549758,0.420528816979403,0.18765483908657166,0.05959122739007434,0.307939618925325,0.36095119448118407,0.2766954210565916,0.08357868193369887,KHM
0.1832736974768618,0.4857767936038157,0.18360130380770032,0.6502467537109283,0.0,0.0,0.6152387082080158,0.5098286434300063,KOR
0.042822231387123134,0.11262686276260067,0.2766513983504496,0.2705737608014891,0.11918841811046049,0.3334548028955125,0.17282577971371688,0.04184383850090184,KWT
0.06826481545908859,0.16209730055531762,0.07940160281553792,0.2399391844892955,0.09312047733296003,0.4007101578921371,0.20281453418498385,0.01828721358847306,LBN
0.26538301733625486,0.22571642195621502,0.160472308392964,0.12894840304297506,0.13367060743129408,0.41888284590012775,0.16657820726343212,0.07761659905374378,LKA
0.023433857959908433,0.1984169230605445,0.01621414111548522,0.19695372577483417,0.08491390338448766,0.36942205001838496,0.2193035703028565,0.03367552694771422,LTU
0.13673084913318725,0.1975062709697708,0.028851633455495768,0.2958330927656486,0.07284541228379299,0.2972164444907882,0.2687467844498536,0.030884305421030312,LUX
0.06016271027111468,0.16199616248588364,0.08917777613516872,0.23249918206987188,0.22780483801671247,0.37099273926668236,0.2065725336603281,0.05596054273225362,LVA
0.199751318862518,0.12771895573100714,0.06437967795854428,0.2235679349395007,0.31614619287379747,0.344552254778748,0.16992949683884725,0.04084445377016309,MAR
0.1518675277577456,0.0,0.06151835893816453,0.25079359842517523,0.1129128027380993,0.36640031172309334,0.20264320763963878,0.03376161725513033,MDA
0.13865893435754942,0.08013820291981924,0.0515037423668354,0.1522053870665314,0.1664969032251836,0.27262873669825965,0.3878548289683193,0.04608990724098467,MEX
0.10612187218956907,0.2156484751900536,0.05794171016268984,0.3274398374587255,0.16215224642893347,0.35270809437306877,0.11309382187326512,0.018396735202800597,MKD
0.14728981336626554,0.12739711555863836,0.042919785305696186,0.44806844769233733,0.11822293882240492,0.32730485750193455,0.014333473648248806,0.04556020174091977,MLT
0.140442633992515,0.12398421754757791,0.08536268410799573,0.1762995466330147,0.08974129982476552,0.19654470317705108,0.21978145443527314,0.024320116935385144,AUS
0.6865258292763287,0.5281442269816716,0.078686273060443,0.044907525781982455,0.2953883881806026,0.2955546530708566,0.347169095741544,0.10821393678338703,MUS
0.13862475798133586,0.23166596102048725,0.1847935200661919,0.23882707444951246,0.08636212231657103,0.30013555564092576,0.23844943884201555,0.0,MYS
0.12219168108602546,0.23288453144411247,0.05412661813551685,0.21016872730072064,0.09263773768893224,0.289027676400696,0.34317876323586527,0.00373847818137253,AUT
0.635884119812391,0.4060574742671175,0.5641185825979347,0.09419283355740495,0.42669357135616054,0.35575343142366345,0.2269868286998908,0.07964669801547361,NGA
0.1954462474722922,0.2200674308391676,0.017406357373976784,0.26420187890235153,0.1988404593750453,0.2967730074143995,0.3072057809745176,0.0224845768029535,NLD
0.18875996586970428,0.08818256936556539,0.010968389578122356,0.28596816808395403,0.06705253655545955,0.35307360067613186,0.24203255306039032,0.030601023553202357,NOR
0.1638791799820133,0.11882044348429248,0.14497349703257373,0.2058591290625009,0.22201196228837902,0.26228973783429294,0.199816573835132,0.04554361553490382,AZE
