residual_transmission,regulatable_transmission,recovery_rate,detection_rate,death_rate,response_slope,initial_relative_latent_infections,response_weights,Country
0.13196331491790647,0.2551720932317273,0.14045101946611724,0.4149926921607174,0.11196196559483197,0.5248778149749536,0.2429016818411286,0.11102957475740362,ARM
0.11654032143824905,0.1615817952278543,0.006473694284009413,0.3139774737331437,0.2907018944617842,0.6269241505622082,0.20234493541238724,0.08221577430678474,HND
0.3095502180403001,0.17067679407826974,0.18126343995226357,0.44682887049563297,0.052805400304855914,0.46082816042671193,0.2874324497993108,0.11528365497550047,HRV
0.3087455350084143,0.14362171444982214,0.11202305761024983,0.3370221835272242,0.3097553894171445,0.6630598571066131,0.1688792293650157,0.12944208621311423,HUN
0.4026495173371281,0.16896777261963364,0.09541662444692135,0.4236080634422878,0.4068374827611236,0.6811936477844698,0.23986418602141302,0.18156168217805724,IDN
0.3555746782884293,0.1897071920835536,0.21419484131005062,0.22027560993866144,0.4177251941641867,0.5516637982221669,0.3630027612952882,0.15720311926180555,IND
0.2650839862198766,0.21129365205186323,0.01463617838123867,0.19384092941533348,0.18999056398345066,0.6216250591595759,0.5083311026649446,0.10223952939775219,IRL
0.35855241695865075,0.14632303078645695,0.7178060368606523,0.5871173233216592,0.3170138636858532,0.5536787382325161,0.42346156658953404,0.08612312283499475,IRN
0.13233949982689622,0.11765272252347517,0.6424916404904246,0.2097921106852035,0.3097553894171445,0.39806846913426525,0.20016941245969708,0.09132343648159971,IRQ
0.34087290181397545,0.2683723956928343,0.41839767622521706,0.5874135764289682,0.11377658416200913,0.5098641689443522,0.09139468487933447,0.0545903901062362,ISL
0.22994420119779627,0.18044950833469592,0.11624503214329945,0.3577409912660487,0.12920084198301515,0.6334529578449113,0.262220098452354,0.0,ISR
0.32673011260272344,0.21635348440341545,0.17253802591729434,0.4064336562439676,0.38596936923858605,0.4675745276773096,0.5870099126879708,0.15723289583822714,ITA
0.2579452897828767,0.24143351956327405,0.46566408844755186,0.6459432628025071,0.06205995499745953,0.6482758205190511,0.6662212430159962,0.1528153753006607,JOR
0.2170992499225589,0.03986112021832979,0.24853356751218747,0.21045198296544637,0.5547288959860637,0.5843332724165422,0.14963394554234358,0.20859219655187242,JPN
0.1371064679705001,0.2720294858078177,0.121311401582959,0.347682173993547,0.09290847063947158,0.5125960527258255,0.23334400740700242,0.1561569688768606,KAZ
0.33459178941168805,0.2654191667711115,0.17056777113520452,0.7833105496834584,0.12012774914712926,0.5976124634415578,0.5434021799251205,0.13510095913661163,KEN
0.20832708807605518,0.06613556134175202,0.2679152452685739,0.1564125797263598,0.25531683240182906,0.4724518874498691,0.3046896578166526,0.1304743408623958,KGZ
0.2582391842430249,0.11439321437968503,0.6480252417784083,1.0,0.030031937286782315,0.5552458394166447,0.8142441371289486,0.1575022084294179,KHM
0.39743994413654105,0.5236225112738144,0.3012406975827789,0.7514625527405383,0.005716048486608114,0.36885920255234667,0.48204661043725594,0.9834951745403655,KOR
0.24025166770411416,0.12154346467372133,0.2559276522444017,0.17375284139034108,0.42679828700007255,0.5788748601758822,0.16888987977111572,0.10294159489960328,KWT
0.204499406627085,0.23017921069603403,0.07402528681280326,0.393921295949763,0.06296726428104812,0.5468359751807588,0.261286412850922,0.08745314324849213,LBN
0.16442160688559462,0.1504656855217911,0.2493779624187974,0.3517670788734503,0.12920084198301515,0.594751382509919,0.18301089820554856,0.16259731150599996,LKA
0.10868628588524833,0.28881798630956773,0.034057261233266904,0.3448114341092906,0.10107425419176887,0.573893741034019,0.2627824398944332,0.057521728629516516,LTU
